taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F5219	Exidia glandulosa	ingroup	Basidiomycota;Agaricomycetes;Auriculariales;Exidiaceae;Exidia	6490	6606	15192	4227	2263	2263
F5281	Tilletiaria anomala	ingroup	Basidiomycota;Exobasidiomycetes;Georgefischeriales;Tilletiariaceae;Tilletiaria	2133	2134	5363	2362	1431	1431
F5286	Rhodotorula toruloides	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula	118	118	301	174	111	111
F52883	Peltigera leucophlebia	ingroup	Ascomycota;Lecanoromycetes;Peltigerales;Peltigeraceae;Peltigera	0	0	0	0	0	0
F5364	Heliocybe sulcata	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Heliocybe	4015	4019	9818	3399	1965	1965
F5365	Lentinus tigrinus	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Lentinus	2781	2787	6733	2432	1458	1458
F5414	Erythrobasidium hasegawianum	ingroup	Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Erythrobasidium	0	0	0	0	0	0
F54195	Ascoidea rubescens	ingroup	Ascomycota;Saccharomycetes;Ascoideales;Ascoideaceae;Ascoidea	2394	2408	6051	2514	1487	1487
F5454	Ascochyta rabiei	ingroup	Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Ascochyta	2385	2385	5937	2401	1508	1508
F5476	Candida albicans	ingroup	Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida	1428	1430	3772	1762	1044	1044
F5479	Candida maltosa	ingroup	Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida	40	41	125	75	38	38
F5482	Candida tropicalis	ingroup	Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida	78	80	228	131	74	74
F5486	Candida viswanathii	ingroup	Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida	4221	4361	10891	2923	1579	1579
F549676	Trichoderma evansii	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	83	83	193	92	66	66
F5507	Fusarium oxysporum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	43	43	110	64	42	42
F5518	Fusarium graminearum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	122	122	312	170	103	103
F552467	Cryptococcus bacillisporus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	82	82	175	96	71	71
F5544	Trichoderma harzianum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	4984	4989	12416	3912	2263	2263
F5570	Cenococcum geophilum	ingroup	Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Cenococcum	7	7	11	7	7	7
F5580	Aureobasidium pullulans	ingroup	Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium	4261	4261	10770	3771	2157	2157
F560253	Letharia lupina	ingroup	Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Letharia	65	65	213	125	62	62
F5606	Saitoella complicata	ingroup	Ascomycota;Saitoellomycetes;Saitoellales;Saitoellaceae;Saitoella	805	806	2111	1072	663	663
F5619	Cryptococcus wingfieldii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	2568	2568	6522	2594	1569	1569
F5630	Laetiporus sulphureus	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Laetiporaceae;Laetiporus	3835	3836	9384	3213	1917	1917
F563466	Scedosporium apiospermum	ingroup	Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scedosporium	3429	3429	8712	3032	1799	1799
F56409	Hanseniaspora vineae	ingroup	Ascomycota;Saccharomycetes;Saccharomycodales;Saccharomycodaceae;Hanseniaspora	1	2	1	1	1	1
F56493	Thelephora terrestris	ingroup	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora	69	69	217	132	66	66
