split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	57.0	57.0	0.0065723825
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	85.2	89.0	0.0282736385
0x3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	98.5	99.0	0.0530354267
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5	0	5	473	562	478	82.7	90.0	0.0185587964
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003080000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000	6	0	6	473	561	479	82.4	77.0	0.0120388233
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003080000000000000400000000010000000000000000000000000000000000000000000000000000000000000000000000	7	0	7	473	560	480	100.0	100.0	0.2615318079
0x6000000000000000030000000000000000000000000008000000000000000000000000000000800000000000000400000000000000000000000003080000000000000400000000010000000000000000000000000000000000000000000000000004000000000000000000	13	0	13	473	554	486	87.7	49.0	0.0659176185
0x6000000000000000030000000000000000000000000008000000000000000000000000000000800000000000000400000000000000000000000003090000000000000400000000010000000000000000000000000000000000000000000000000004000000000000000000	14	0	14	473	553	487	52.6	37.0	0.0590693242
0x140200d000000000000002000000610004000000000003014000000008000000000000001800000801000000000000000000002090000000a800010400000020000000000000100403090080000080040400000000010220000c00800000020000000000002440220000020020000004000000080000020040	983	473	510	0	57	510	88.4	40.0	0.0566922916
0x40080025141200d000000c82000002800000710004440000000003a16400040008000005550040401800002809000908000001000000002299000000a814810405200020048032008284100407090880029081040400101002550220000e05880000020000504600016450220200020020400844004000090012820042	898	473	425	0	142	425	94.4	81.0	0.0777326201
