taxon_id	species_name	study_role	lineage	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
F105984	Apiotrichum porosum	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum	8	8	0	2	6	1.0	1.0	8	8	1	1
F1890679	Cryptotrichosporon argae	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Tetragoniomycetaceae;Cryptotrichosporon	0	0	0	0	0			0	0	0	0
F279322	Cutaneotrichosporon cavernicola	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Cutaneotrichosporon	8	8	0	1	7	1.0	1.0	8	8	1	1
F82508	Trichosporon asahii	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon	6	6	0	3	3	1.0	1.0	6	6	1	1
F143232	Vanrija pseudolonga	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Vanrija	8	7	1	2	5	0.875	0.8333333333333334	8	7	1	1
F1055551	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Tritirachium	0	0	0	0	0			0	0	0	0
F1269715	Thecaphora frezii	ingroup	Basidiomycota;Ustilaginomycetes;Urocystidales;Glomosporiaceae;Thecaphora	0	0	0	0	0			0	0	0	0
F84753	Moesziomyces antarcticus	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Moesziomyces	6	6	0	1	5	1.0	1.0	6	6	1	1
F84751	Pseudozyma flocculosa	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Pseudozyma	6	6	0	1	5	1.0	1.0	6	6	1	1
F280036	Sporisorium graminicola	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Sporisorium	8	7	1	3	4	0.875	0.8	8	7	1	1
F1882483	Testicularia cyperi	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Anthracoideaceae;Testicularia	8	7	1	2	5	0.875	0.8333333333333334	8	7	1	1
F120017	Ustilago hordei	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Ustilago	8	7	1	2	5	0.875	0.8333333333333334	8	7	1	1
F1673888	Violaceomyces palustris	ingroup	Basidiomycota;Ustilaginomycetes;Violaceomycetales;Violaceomycetaceae;Violaceomyces	0	0	0	0	0			0	0	0	0
F1708542	Wallemia canadensis	ingroup	Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	0	0	0	0	0			0	0	0	0
F1540922	Wallemia hederae	ingroup	Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	8	8	0	4	4	1.0	1.0	8	8	1	1
F245174	Wallemia ichthyophaga	ingroup	Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	8	7	1	2	5	0.875	0.8333333333333334	8	7	1	1
F1708541	Wallemia mellicola	ingroup	Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	8	7	1	1	6	0.875	0.8571428571428571	8	7	1	1
F64504	Allomyces arbusculus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces	0	0	0	0	0			0	0	0	0
F64505	Allomyces javanicus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces	0	0	0	0	0			0	0	0	0
F28583	Allomyces macrogynus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces	8	7	1	3	4	0.875	0.8	8	7	1	1
F64508	Blastocladiella britannica	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella	0	0	0	0	0			0	0	0	0
F4808	Blastocladiella emersonii	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella	0	0	0	0	0			0	0	0	0
F109876	Catenaria anguillulae	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria	8	8	0	3	5	1.0	1.0	8	8	1	1
F945690	Coelomomyces lativittatus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Coelomomycetaceae;Coelomomyces	0	0	0	0	0			0	0	0	0
F3075319	Sorochytrium milnesiophthora	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Sorochytriaceae;Sorochytrium	0	0	0	0	0			0	0	0	0
F1500003	Paraphysoderma sedebokerense	ingroup	Blastocladiomycota;Physodermatomycetes;Physodermatales;Physodermataceae;Paraphysoderma	0	0	0	0	0			0	0	0	0
F911321	Calcarisporiella thermophila	ingroup	Calcarisporiellomycota;Calcarisporiellomycetes;Calcarisporiellales;Calcarisporiellaceae;Calcarisporiella	0	0	0	0	0			0	0	0	0
F1555241	Caulochytrium protostelioides	ingroup	Chytridiomycota;Caulochytriomycetes;Caulochytriales;Caulochytriaceae;Caulochytrium	8	8	0	0	8	1.0	1.0	8	8	1	1
F1774096	Dinochytrium kinnereticum	ingroup	Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Dinochytrium	0	0	0	0	0			0	0	0	0
F109932	Entophlyctis luteolus	ingroup	Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Entophlyctis	0	0	0	0	0			0	0	0	0
F1604274	Cladochytrium tenue	ingroup	Chytridiomycota;Chytridiomycetes;Cladochytriales;Cladochytriaceae;Cladochytrium	0	0	0	0	0			0	0	0	0
F109889	Lobulomyces angularis	ingroup	Chytridiomycota;Chytridiomycetes;Lobulomycetales;Lobulomycetaceae;Lobulomyces	0	0	0	0	0			0	0	0	0
F110093	Polychytrium aggregatum	ingroup	Chytridiomycota;Chytridiomycetes;Polychytriales;Polychytrium	0	0	0	0	0			0	0	0	0
F2735257	Borealophlyctis nickersoniae	ingroup	Chytridiomycota;Chytridiomycetes;Rhizophlyctidales;Borealophlyctidaceae;Borealophlyctis	0	0	0	0	0			0	0	0	0
F64517	Rhizophlyctis rosea	ingroup	Chytridiomycota;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis	0	0	0	0	0			0	0	0	0
F382532	Globomyces pollinis-pini	ingroup	Chytridiomycota;Chytridiomycetes;Rhizophydiales;Globomycetaceae;Globomyces	0	0	0	0	0			0	0	0	0
F1396493	Fimicolochytrium jonesii	ingroup	Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Fimicolochytrium	0	0	0	0	0			0	0	0	0
