taxon_id	species_name	study_role	lineage	marker_links	unique_source_cds	no_source_cds	multiple_source_cds_records	alternative_product_markers	unresolved_gene_markers
F29902	Mrakia frigida	ingroup	Basidiomycota	125	125	0	0	0	0
F264483	Phaffia rhodozyma	ingroup	Basidiomycota	124	124	0	0	0	124
F29889	Calocera cornea	ingroup	Basidiomycota	124	124	0	0	0	0
F63146	Calocera viscosa	ingroup	Basidiomycota	122	122	0	0	0	0
F1858805	Dacryopinax primogenitus	ingroup	Basidiomycota	120	120	0	0	0	0
F58919	Tilletiopsis washingtonensis	ingroup	Basidiomycota	121	121	0	0	0	0
F5414	Erythrobasidium hasegawianum	ingroup	Basidiomycota	124	124	0	0	0	0
F215250	Acaromyces ingoldii	ingroup	Basidiomycota	124	124	0	0	0	0
F63378	Exobasidium rhododendri	ingroup	Basidiomycota	125	125	0	0	0	0
F1280837	Meira miltonrushii	ingroup	Basidiomycota	123	123	0	0	0	0
F5210	Filobasidium floriforme	ingroup	Basidiomycota	124	124	0	0	0	0
F610337	Naganishia cerealis	ingroup	Basidiomycota	86	86	0	0	0	0
F89922	Naganishia friedmannii	ingroup	Basidiomycota	121	121	0	0	0	0
F104408	Naganishia liquefaciens	ingroup	Basidiomycota	125	125	0	0	0	0
F1424756	Naganishia vaughanmartiniae	ingroup	Basidiomycota	101	101	0	0	0	0
F68786	Sphaerobolus stellatus	ingroup	Basidiomycota	101	101	0	0	0	0
F1230402	Basidioascus undulatus	ingroup	Basidiomycota	125	125	0	0	0	0
F5281	Tilletiaria anomala	ingroup	Basidiomycota	123	123	0	0	0	0
F104355	Gloeophyllum trabeum	ingroup	Basidiomycota	125	125	0	0	0	0
F5364	Heliocybe sulcata	ingroup	Basidiomycota	124	124	0	0	0	0
F38799	Neolentinus lepideus	ingroup	Basidiomycota	122	122	0	0	0	0
F112417	Gautieria morchelliformis	ingroup	Basidiomycota	120	120	0	0	0	0
F113071	Ramaria rubella	ingroup	Basidiomycota	118	118	0	0	0	0
F45228	Heterogastridium pycnidioideum	ingroup	Basidiomycota	124	124	0	0	0	0
F257869	Holtermanniella festucosa	ingroup	Basidiomycota	124	124	0	0	0	0
F135589	Coniferiporia weirii	ingroup	Basidiomycota	120	120	0	0	0	0
F208960	Fomitiporia mediterranea	ingroup	Basidiomycota	119	119	0	0	0	0
F2282107	Pyrrhoderma noxium	ingroup	Basidiomycota	122	122	0	0	0	0
F50990	Rickenella mellea	ingroup	Basidiomycota	122	122	0	0	0	0
F27342	Schizopora paradoxa	ingroup	Basidiomycota	124	124	0	0	0	0
F150792	Hysterangium stoloniferum	ingroup	Basidiomycota	124	124	0	0	0	0
F202697	Jaapia argillacea	ingroup	Basidiomycota	121	121	0	0	0	0
F1323573	Meredithblackwellia eburnea	ingroup	Basidiomycota	124	124	0	0	0	0
F418498	Phenoliferia psychrophenolica	ingroup	Basidiomycota	122	122	0	0	0	0
F3038894	Phenoliferia sp. Uapishka_3	ingroup	Basidiomycota	103	103	0	0	0	0
F106004	Leucosporidium creatinivorum	ingroup	Basidiomycota	121	121	0	0	0	0
F223818	Malassezia japonica	ingroup	Basidiomycota	121	121	0	0	0	0
F77020	Malassezia pachydermatis	ingroup	Basidiomycota	120	120	0	0	0	0
F76775	Malassezia restricta	ingroup	Basidiomycota	122	122	0	0	0	0
F76777	Malassezia sympodialis	ingroup	Basidiomycota	111	111	0	0	0	0
F2020962	Malassezia vespertilionis	ingroup	Basidiomycota	119	119	0	0	0	0
F269621	Microbotryum intermedium	ingroup	Basidiomycota	124	124	0	0	0	0
F288795	Microbotryum lychnidis-dioicae	ingroup	Basidiomycota	121	121	0	0	0	0
F289078	Microbotryum saponariae	ingroup	Basidiomycota	122	122	0	0	0	0
F796604	Microbotryum silenes-dioicae	ingroup	Basidiomycota	121	121	0	0	0	0
F2878321	Jaminaea pallidilutea	ingroup	Basidiomycota	124	124	0	0	0	0
F1569628	Jaminaea rosea	ingroup	Basidiomycota	123	123	0	0	0	0
F1684307	Microstroma glucosiphilum	ingroup	Basidiomycota	125	125	0	0	0	0
F1463510	Parajaminaea phylloscopi	ingroup	Basidiomycota	125	125	0	0	0	0
