split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003080000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000	6	0	6	473	561	479	0.0	77.0	2.6332e-06
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003080000000000000400000000010000000000000000000000000000000000000000000000000000000000000000000000	7	0	7	473	560	480	99.7	100.0	0.3616700779
0x400800250212000000000c82000000800000700000450020000003a1258004000800000555004040180000280c000928000001000000402299000000a01480240520002004803280828400000709080002944d040400101002550000000205080000000001504600014050002a000000004008440040000d0032800042	908	473	435	0	132	435	91.6	39.0	0.1149194337
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020	2	0	2	473	565	475	79.1	17.0	0.0290456492
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020	3	0	3	473	564	476	86.4	24.0	0.0520352196
0x40000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	89.2	92.0	0.2054732371
0x800000000000000000000000000000000000000000000000000000000000000000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	94.0	91.0	0.2524927682
0x800000000000000000000000000000000000000000000000000080000000000000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	49.8	77.0	0.0313612718
0x4000000000000000000000000000000000000000000000000000000000000000000000000000800000004000000000000000000000000000000000000000000080000000000000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000020	7	0	7	473	560	480	0.0	6.0	2.9275e-06
0x40000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000	2	0	2	473	565	475	75.4	66.0	0.0251775101
0x4000000000000000080000000000000000000000000000000000000000000000	2	0	2	473	565	475	49.8	72.0	0.0085290937
0x40000000000000000000000000000000000004000000000000000080000000001000000000000000000000000000000000000	4	0	4	473	563	477	93.8	91.0	0.0470069776
0x4000000000000000000000000000000000000000000000000000000000000000000000000000800000004000000000000000000000000000000000000000000080000000000000040040000000200000000000000000000000004000000000000000080000000001000000000000000000000000000000000020	11	0	11	473	556	484	88.7	20.0	0.041781005
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000	2	0	2	473	565	475	91.3	99.0	0.0473822619
0x4000000000000000000000000000000000000000000000000000000000000000000000000000800000004000000000000000000000000000100000000000000080000000000000040040000000200000000000000000000000004000000000000000080000000001000000000000000000000000000000400020	13	0	13	473	554	486	90.8	41.0	0.0494292296
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000	2	0	2	473	565	475	99.8	100.0	0.1829082127
