taxon_id	species_name	study_role	lineage_group	dataset	selection_reason
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F241526	Candida africana	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5476	Candida albicans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F42374	Candida dubliniensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5479	Candida maltosa	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5482	Candida tropicalis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5486	Candida viswanathii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F72144	Remersonia thermophila	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5147	Sordaria macrospora	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5011	Taphrina deformans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F116982	Xanthoria calcicola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2939404	Thelocarpon superellum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1093900	Thyridium curvatum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F129515	Trapelia coarctata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F51930	Tortispora caseinolytica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2939406	Bogoriella megaspora	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F364730	Trypethelium subeluteriae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
