taxon_id	proteins_checked	marker_query_links	additional_query_links
F136370	9825	120	9705
F139363	18664	118	18546
F1396493	10065	119	9946
F1397036	8485	114	8371
F1419009	10514	117	10397
F1424756	6621	101	6520
F143232	9473	120	9353
F1440133	12900	107	12793
F144530	13690	123	13567
F144538	11842	121	11721
F144539	11385	114	11271
F144679	14642	121	14521
F1453789	8691	119	8572
F1453791	7721	120	7601
F145971	18280	123	18157
F1463510	6613	125	6488
F147570	10674	125	10549
F147573	7556	122	7434
F148304	12163	103	12060
F148305	12441	122	12319
F148313	10373	121	10252
F1498855	7496	122	7374
F1500003	10850	118	10732
F1504668	12801	125	12676
F1506992	23280	122	23158
F1507870	18781	15	18766
F1507873	7772	91	7681
F150792	15018	124	14894
F1520584	6829	100	6729
F1522189	7822	123	7699
F152956	12062	121	11941
F1540922	4115	122	3993
F1542792	7721	119	7602
F1555241	6168	123	6045
F156515	19545	105	19440
F1569628	6858	123	6735
F157183	10180	122	10058
F158046	6907	116	6791
F1590129	9650	120	9530
F1604274	15890	69	15821
F162425	10453	123	10330
F164576	7656	123	7533
F164912	2865	64	2801
F1658444	13929	121	13808
F1670608	7646	121	7525
F1671311	17223	124	17099
F1673888	8058	121	7937
F1682393	16023	124	15899
F1684307	6681	125	6556
F1690604	8740	119	8621
F1690608	11205	125	11080
F169141	9958	116	9842
F170000	19617	99	19518
F170446	29016	19	28997
F1708541	5277	124	5153
F1708542	5087	124	4963
F1712513	6118	80	6038
F173216	10998	122	10876
F1738374	13063	124	12939
F174425	6269	119	6150
F174680	2331	49	2282
F174688	3537	42	3495
F1750568	16954	106	16848
F1754190	20200	67	20133
F1754191	10959	117	10842
F1754192	12823	109	12714
F1759441	32847	114	32733
F177197	13658	124	13534
F177199	9535	120	9415
F1774096	10332	107	10225
F1806994	6304	122	6182
F1810926	12536	124	12412
F1810928	11798	125	11673
F181123	133973	122	133851
F1814901	10528	117	10411
F182096	10329	124	10205
F1825666	8654	109	8545
F183962	7657	124	7533
F1851185	8032	120	7912
F1851187	8844	123	8721
F1858805	10237	120	10117
F1859096	6408	123	6285
F1859121	6646	124	6522
F1859122	6557	125	6432
F1882483	7069	125	6944
F1890679	7058	125	6933
F1897645	13339	100	13239
F1904413	15528	123	15405
F1907219	4301	65	4236
F1912936	16509	123	16386
F1912939	18510	117	18393
F1938712	17590	101	17489
F1938954	5719	98	5621
F1940652	8300	122	8178
F195108	14574	121	14453
F199306	8299	118	8181
F2019550	7505	123	7382
F2020955	9368	91	9277
F2020962	3964	119	3845
F2024903	7859	106	7753
F202697	16375	121	16254
F202698	11537	123	11414
F2034170	11590	125	11465
F203533	13264	116	13148
F2035830	8286	124	8162
F203908	16255	122	16133
F2082308	8256	125	8131
F208348	12736	117	12619
F208960	11330	119	11211
F209136	10853	124	10729
F209281	11395	114	11281
F2109901	7220	98	7122
F215250	8026	124	7902
F215637	7102	121	6981
F223192	8834	118	8716
F223376	10423	107	10316
F223409	7741	121	7620
F223818	4315	121	4194
F226899	8311	122	8189
F2268995	6287	125	6162
F2282107	9930	122	9808
F2283408	13128	124	13004
F230603	5532	121	5411
F231932	13918	114	13804
F2340872	9218	90	9128
F235537	10346	125	10221
F236234	10831	124	10707
F241526	2850	69	2781
F245174	4863	122	4741
F2486360	11345	125	11220
F253628	9818	111	9707
F2545709	5098	122	4976
F2562287	14662	116	14546
F257869	7097	124	6973
F2600213	12384	95	12289
F2600215	12042	106	11936
F2600216	12019	104	11915
F2601811	9403	121	9282
F2606893	6475	124	6351
F2609844	11140	124	11016
F263815	3623	123	3500
