species_id	taxon_id	proteins	outside_retained_partition	singleton_family_proteins	two_member_family_proteins	tree_eligible_family_proteins	outside_fraction	intermediate_unassigned_proteins	intermediate_unassigned_now_in_partition	intermediate_unassigned_still_outside	outside_not_in_intermediate
318	F29898	7222	802	0	23	6397	0.11104957075602326	802	0	802	0
319	F29902	9508	2779	0	4	6725	0.2922801851072781	2779	0	2779	0
320	F29908	10277	2207	0	5	8065	0.21475138659141774	2207	0	2207	0
321	F3038894	9530	2575	0	5	6950	0.270199370409234	2575	0	2575	0
322	F3039483	1826	589	0	1	1236	0.32256297918948523	589	0	589	0
323	F304332	9222	3338	0	4	5880	0.3619605291693776	3338	0	3338	0
324	F3058885	8539	1265	0	3	7271	0.14814381075067337	1265	0	1265	0
325	F3060298	9330	1560	0	2	7768	0.16720257234726688	1560	0	1560	0
326	F3075319	8697	1932	0	25	6740	0.22214556743704725	1932	0	1932	0
327	F3108450	23663	5545	0	6	18112	0.23433207961796898	5545	0	5545	0
328	F315204	9544	1474	0	6	8064	0.1544425817267393	1474	0	1474	0
329	F318760	9144	1010	0	5	8129	0.11045494313210849	1010	0	1010	0
330	F318763	10810	1543	0	5	9262	0.1427382053654024	1543	0	1543	0
331	F318774	7744	1895	0	1	5848	0.2447055785123967	1895	0	1895	0
332	F326681	11996	1676	0	2	10318	0.1397132377459153	1676	0	1676	0
333	F326684	12119	1961	0	1	10157	0.16181203069560196	1961	0	1961	0
334	F332112	9143	657	0	11	8475	0.07185825221480914	657	0	657	0
335	F3342545	10753	1374	0	3	9376	0.12777829442946154	1374	0	1374	0
336	F339359	10669	2705	0	1	7963	0.25353828849939075	2705	0	2705	0
337	F342668	10685	1237	0	2	9446	0.11576977070659804	1237	0	1237	0
338	F34406	15627	3509	0	4	12114	0.22454725795098227	3509	0	3509	0
339	F34480	18042	1934	0	250	15858	0.10719432435428444	1934	0	1934	0
340	F34485	38917	23299	0	8	15610	0.5986843795770486	23299	0	23299	0
341	F348617	5453	1527	0	0	3926	0.28002934164679993	1527	0	1527	0
342	F36035	5026	708	0	0	4318	0.1408674890569041	708	0	708	0
343	F36050	13851	2866	0	1	10984	0.20691646812504513	2866	0	2866	0
344	F364730	8904	1020	0	2	7882	0.11455525606469003	1020	0	1020	0
345	F364733	9238	1483	0	2	7753	0.16053258281013205	1483	0	1483	0
346	F36779	14458	4924	0	0	9534	0.3405726933185779	4924	0	4924	0
347	F370292	12640	4132	0	3	8505	0.3268987341772152	4132	0	4132	0
348	F37769	6565	549	0	1	6015	0.08362528560548363	549	0	549	0
349	F378194	13761	3835	0	1	9925	0.2786861419954945	3835	0	3835	0
350	F383834	7319	991	0	34	6294	0.13540101106708566	991	0	991	0
351	F38799	13155	3878	0	3	9274	0.29479285442797415	3878	0	3878	0
352	F390894	15150	3590	0	13	11547	0.23696369636963696	3590	0	3590	0
353	F393283	15413	2189	0	6	13218	0.14202296762473238	2189	0	2189	0
354	F39416	7420	1235	0	85	6100	0.1664420485175202	1235	0	1235	0
355	F398673	11171	1708	0	3	9460	0.15289589114671917	1708	0	1708	0
356	F400354	8117	883	0	2	7232	0.10878403350991746	883	0	883	0
357	F401625	8022	2453	0	1	5568	0.30578409374220894	2453	0	2453	0
358	F40492	14062	3630	0	3	10429	0.2581425117337505	3630	0	3630	0
359	F40559	11698	2169	0	21	9508	0.185416310480424	2169	0	2169	0
