taxon_id	species_name	study_role	unambiguous_residues	unambiguous_fraction
F51930	Tortispora caseinolytica	ingroup	46320	0.9447855263426276
F5207	Cryptococcus neoformans	ingroup	47668	0.9722805800885227
F5208	Cryptococcus depauperatus	ingroup	47547	0.9698125522671182
F5210	Filobasidium floriforme	ingroup	47532	0.9695065984049606
F5219	Exidia glandulosa	ingroup	35131	0.7165643420972118
F5281	Tilletiaria anomala	ingroup	45697	0.9320782426010158
F5286	Rhodotorula toruloides	ingroup	47701	0.9729536785852694
F52883	Peltigera leucophlebia	ingroup	38842	0.7922573275949987
F5364	Heliocybe sulcata	ingroup	48135	0.9818059436636956
F5365	Lentinus tigrinus	ingroup	46951	0.9576559854773901
F5414	Erythrobasidium hasegawianum	ingroup	47856	0.9761152018275644
F54195	Ascoidea rubescens	ingroup	45392	0.9258571807371448
F5454	Ascochyta rabiei	ingroup	48332	0.9858241377200319
F5476	Candida albicans	ingroup	44730	0.9123544169539234
F5479	Candida maltosa	ingroup	42199	0.8607298019458666
F5482	Candida tropicalis	ingroup	43439	0.886021987884227
F5486	Candida viswanathii	ingroup	12008	0.24492626511922003
F549676	Trichoderma evansii	ingroup	47461	0.968058416790748
F5507	Fusarium oxysporum	ingroup	48320	0.9855793746303058
F5518	Fusarium graminearum	ingroup	48279	0.9847431007404084
F552467	Cryptococcus bacillisporus	ingroup	47814	0.9752585310135231
F5544	Trichoderma harzianum	ingroup	48370	0.9865992208374977
F5570	Cenococcum geophilum	ingroup	46216	0.9426642462316682
F5580	Aureobasidium pullulans	ingroup	48313	0.9854365961612989
F560253	Letharia lupina	ingroup	48272	0.9846003222714015
F5606	Saitoella complicata	ingroup	46910	0.9568197115874926
F5619	Cryptococcus wingfieldii	ingroup	47661	0.9721378016195158
F5630	Laetiporus sulphureus	ingroup	47047	0.9596140901951986
F563466	Scedosporium apiospermum	ingroup	37677	0.7684949109674261
F56409	Hanseniaspora vineae	ingroup	44278	0.9031350072409081
F56493	Thelephora terrestris	ingroup	46746	0.953474616027903
F574656	Recurvomyces mirabilis	ingroup	47729	0.9735247924612969
